name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Steam (lbs/hr),Electric (kW),
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-03 00:00:00,D,1190.262134375,Steam,2024-05-04,183.098553684,1206.386964583,593.2447917,
PhysicalSciences.CW.FP/TONS,2024-03-04 00:00:00,D,133.890273958,Chilled Water,2024-05-05,89.505425806,1193.364584375,590.571875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-04 00:00:00,D,1365.918072916,Steam,2024-05-06,191.934552083,1400.629479166,594.7104167,
PhysicalSciences.CW.FP/TONS,2024-03-05 00:00:00,D,86.997728125,Chilled Water,2024-05-07,188.837592708,1410.123886458,590.9864583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-05 00:00:00,D,1407.074930208,Steam,2024-05-08,271.288115625,1249.752703125,580.9020833,
PhysicalSciences.CW.FP/TONS,2024-03-06 00:00:00,D,72.133607291,Chilled Water,2024-05-09,115.447257291,1387.208292708,594.11875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-06 00:00:00,D,1321.016871875,Steam,2024-05-10,79.731682105,1325.330116666,600.675,
PhysicalSciences.CW.FP/TONS,2024-03-07 00:00:00,D,70.199810416,Chilled Water,2024-05-11,104.388917708,1174.578620833,593.1020833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-07 00:00:00,D,1705.220583333,Steam,2024-05-12,89.775988421,1211.112952083,584.35625,
PhysicalSciences.CW.FP/TONS,2024-03-08 00:00:00,D,95.401106593,Chilled Water,2024-05-13,137.237510416,1377.313389583,551.3520833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-08 00:00:00,D,1780.653343750,Steam,2024-05-14,265.551250000,1389.806379166,530.878125,
PhysicalSciences.CW.FP/TONS,2024-03-09 00:00:00,D,67.850261458,Chilled Water,2024-05-15,223.966687500,1319.680321875,534.4177083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-09 00:00:00,D,1304.558410416,Steam,2024-05-16,253.983910416,1379.299732291,537.4208333,
PhysicalSciences.CW.FP/TONS,2024-03-10 00:00:00,D,71.176856250,Chilled Water,2024-05-17,244.171382291,1308.432692708,540.6135417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-10 00:00:00,D,1639.256000000,Steam,2024-05-18,239.978666666,1160.781319791,543.1229167,
PhysicalSciences.CW.FP/TONS,2024-03-11 00:00:00,D,76.999457291,Chilled Water,2024-05-19,277.688416666,1126.880621875,553.5572917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-11 00:00:00,D,2163.295375000,Steam,2024-05-20,307.403608333,1255.082887500,572.84375,
PhysicalSciences.CW.FP/TONS,2024-03-12 00:00:00,D,93.839389583,Chilled Water,2024-05-21,410.556223404,1291.591985416,590.2541667,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-12 00:00:00,D,1516.877708333,Steam,2024-05-22,391.866451612,1177.993901041,580.6802083,
PhysicalSciences.CW.FP/TONS,2024-03-13 00:00:00,D,147.942605208,Chilled Water,2024-05-23,337.038291666,1299.228958947,571.85625,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-13 00:00:00,D,1371.043218750,Steam,2024-05-24,241.227193750,1153.354090625,587.1979167,
PhysicalSciences.CW.FP/TONS,2024-03-14 00:00:00,D,127.421167708,Chilled Water,2024-05-25,214.807952083,1021.180448958,575.7302083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-14 00:00:00,D,1407.327210416,Steam,2024-05-26,259.502612500,1088.666396875,550.7614583,
PhysicalSciences.CW.FP/TONS,2024-03-15 00:00:00,D,77.147943750,Chilled Water,2024-05-27,369.118958333,1156.670444791,522.7770833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-15 00:00:00,D,1355.006987500,Steam,2024-05-28,204.178835416,458.130076041,532.4489583,
PhysicalSciences.CW.FP/TONS,2024-03-16 00:00:00,D,76.591067368,Chilled Water,2024-05-29,102.064607526,458.130076041,534.5270833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-16 00:00:00,D,1249.871420833,Steam,2024-05-30,80.556505376,1427.319073958,548.8354167,
PhysicalSciences.CW.FP/TONS,2024-03-17 00:00:00,D,65.403667708,Chilled Water,2024-05-31,141.491322916,1427.319073958,561.55,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-17 00:00:00,D,1179.999762500,Steam,2024-06-01,194.078428125,1198.380476041,550.0104167,
PhysicalSciences.CW.FP/TONS,2024-03-18 00:00:00,D,65.591532291,Chilled Water,2024-06-02,238.898358695,1165.580034375,550.3989583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-18 00:00:00,D,2003.676656250,Steam,2024-06-03,284.701854166,1215.065816666,569.046875,
PhysicalSciences.CW.FP/TONS,2024-03-19 00:00:00,D,70.909115625,Chilled Water,2024-06-04,324.520802083,1129.856691666,568.0739583,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-19 00:00:00,D,2210.943958333,Steam,2024-06-05,398.546458333,1081.488327083,570.3645833,
PhysicalSciences.CW.FP/TONS,2024-03-20 00:00:00,D,69.005637894,Chilled Water,2024-06-06,440.813145833,1142.099107291,589.7197917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-20 00:00:00,D,1906.575281250,Steam,2024-06-07,207.183677083,1233.524612500,599.9489583,
PhysicalSciences.CW.FP/TONS,2024-03-21 00:00:00,D,68.437856250,Chilled Water,2024-06-08,173.580592708,1127.536013541,576.3947917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-21 00:00:00,D,2813.082177083,Steam,2024-06-09,133.583146875,1096.339934375,560.3708333,
PhysicalSciences.CW.FP/TONS,2024-03-22 00:00:00,D,62.744283157,Chilled Water,2024-06-10,112.661071578,1249.565006250,588.3927083,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-22 00:00:00,D,2612.533166666,Steam,2024-06-11,112.749344791,1201.281969791,590.9072917,
PhysicalSciences.CW.FP/TONS,2024-03-23 00:00:00,D,67.375834375,Chilled Water,2024-06-12,175.503392708,1192.412769791,571.1822917,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-23 00:00:00,D,2211.262489583,Steam,2024-06-13,251.334015625,1113.784934375,561.884375,
PhysicalSciences.CW.FP/TONS,2024-03-24 00:00:00,D,67.643914736,Chilled Water,2024-06-14,317.634157894,1055.995223958,564.2020833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-24 00:00:00,D,2261.141583333,Steam,2024-06-15,200.145902083,1031.261872916,560.1802083,
PhysicalSciences.CW.FP/TONS,2024-03-25 00:00:00,D,74.870422916,Chilled Water,2024-06-16,187.342561458,996.727626041,566.45,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-25 00:00:00,D,2060.813510416,Steam,2024-06-17,345.047625000,1052.135171875,571.0583333,
PhysicalSciences.CW.FP/TONS,2024-03-26 00:00:00,D,93.888713829,Chilled Water,2024-06-18,516.196921348,1021.462425000,572.39375,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-26 00:00:00,D,1551.326145833,Steam,2024-06-19,543.406610526,868.948065625,557.0791667,
PhysicalSciences.CW.FP/TONS,2024-03-27 00:00:00,D,87.464185416,Chilled Water,2024-06-20,558.696885416,964.074650000,579.6645833,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-27 00:00:00,D,1400.968254166,Steam,2024-06-21,538.492434782,971.308657291,575.1979167,
PhysicalSciences.CW.FP/TONS,2024-03-28 00:00:00,D,70.599302500,Chilled Water,2024-06-22,482.186666666,906.666756250,544.675,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-28 00:00:00,D,1049.118414583,Steam,2024-06-23,475.948366666,897.402298958,549.365625,
PhysicalSciences.CW.FP/TONS,2024-03-29 00:00:00,D,71.368510416,Chilled Water,2024-06-24,261.760500000,1088.549527083,554.96875,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-29 00:00:00,D,0.000000000,Steam,2024-06-25,260.759584375,1084.535866666,550.8083333,
PhysicalSciences.CW.FP/TONS,2024-03-30 00:00:00,D,73.877347916,Chilled Water,2024-06-26,350.462545833,1011.200181250,561.0760417,
PhysicalSciences.STM.M22-V/AverageMassFlow,2024-03-30 00:00:00,D,0.000000000,Steam,2024-06-27,235.548584375,1176.624230208,571.5064716,
PhysicalSciences.CW.FP/TONS,2024-03-31 00:00:00,D,75.182891666,Chilled Water,2024-06-28,182.223267708,1166.242210416,583.8489583,
