name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-05 00:00:00,D,49.169261979,Hot Water Building Heat,2024-05-18,20.255288020,11.734633229,45.365577916,25.416827395
HuShihHall.Elec.PowerScout3HD/kW,2024-02-05 00:00:00,D,44.930589270,Electric,2024-05-19,22.013966250,6.756322500,-8.830318333,64.494903541
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-05 00:00:00,D,30.171436875,Electric Solar submeter,2024-05-20,24.653406292,5.960934943,-17.032926145,66.344544479
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-06 00:00:00,D,4.548154062,Chilled Water,2024-05-21,32.282163958,5.634986875,-7.101235208,53.769038125
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-06 00:00:00,D,52.566302500,Hot Water Building Heat,2024-05-22,35.160605208,4.942283854,-5.778131145,58.951525937
HuShihHall.Elec.PowerScout3HD/kW,2024-02-06 00:00:00,D,33.132253229,Electric,2024-05-23,25.138964062,6.508895937,-17.996801145,66.659094479
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-06 00:00:00,D,41.840126562,Electric Solar submeter,2024-05-24,26.325309062,5.751048437,-28.345457395,78.084285104
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-07 00:00:00,D,4.118374270,Chilled Water,2024-05-25,28.709634166,12.566657083,-2.069766458,54.514305625
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-07 00:00:00,D,49.878931562,Hot Water Building Heat,2024-05-26,28.151886770,8.806042812,-15.141082708,63.619368854
HuShihHall.Elec.PowerScout3HD/kW,2024-02-07 00:00:00,D,45.061829270,Electric,2024-05-27,31.371849895,9.120003645,10.245182604,41.758115520
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-07 00:00:00,D,29.563678333,Electric Solar submeter,2024-05-28,21.885132187,3.812133333,11.052249791,39.049692604
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-08 00:00:00,D,4.406313958,Chilled Water,2024-05-29,14.428482500,0.639496458,2.074910104,49.697759166
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-08 00:00:00,D,41.174507500,Hot Water Building Heat,2024-05-30,12.217269791,0.763878541,-17.667934375,76.931603020
HuShihHall.Elec.PowerScout3HD/kW,2024-02-08 00:00:00,D,38.396017395,Electric,2024-05-31,14.743195833,13.549954479,-32.873032291,82.485274166
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-08 00:00:00,D,31.631776562,Electric Solar submeter,2024-06-01,19.038685729,12.676022916,-31.008468645,77.405949687
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-09 00:00:00,D,5.473911666,Chilled Water,2024-06-02,20.147901562,6.499100312,1.871393854,47.700487395
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-09 00:00:00,D,32.378661562,Hot Water Building Heat,2024-06-03,22.496612812,6.993734479,-13.399319895,59.647473229
HuShihHall.Elec.PowerScout3HD/kW,2024-02-09 00:00:00,D,39.455957500,Electric,2024-06-04,29.083544375,5.980466458,-23.924758750,73.161358229
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-02-09 00:00:00,D,31.691418854,Electric Solar submeter,2024-06-05,31.940141666,5.082041979,-3.153288125,51.089271979
HuShihHall.B0061.FleximF721/CW.Tons,2024-02-10 00:00:00,D,5.362177395,Chilled Water,2024-06-06,32.303865416,5.658954062,13.477018333,35.383502083
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-02-10 00:00:00,D,29.153888750,Hot Water Building Heat,2024-06-07,22.997654583,11.396890104,18.190953333,27.957995625
