name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-30 00:00:00,D,11.039979895,Steam,2024-06-27,22.476595744,48.559483541
CascadillaHall.Elec.PowerScout3/kWsystem,2024-03-31 00:00:00,D,53.826041666,,2024-06-28,21.583333333,50.101474062
CascadillaHall.STM.M22-V/AverageMassFlow,2024-03-31 00:00:00,D,5.194821979,Steam,2024-06-29,20.186458333,49.852259791
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-01 00:00:00,D,53.934375000,,2024-06-30,19.886458333,48.540864583
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-01 00:00:00,D,4.938292500,Steam,2024-07-01,21.618750000,49.991729895
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-02 00:00:00,D,52.387500000,,2024-07-02,21.917708333,49.622663229
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-02 00:00:00,D,3.853373645,Steam,2024-07-03,22.001041666,48.383157291
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-03 00:00:00,D,51.596842105,,2024-07-04,20.416666666,47.259330104
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-03 00:00:00,D,4.893884375,Steam,2024-07-05,21.543750000,46.339544791
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-04 00:00:00,D,52.082291666,,2024-07-06,21.398958333,45.584960937
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-04 00:00:00,D,6.403579687,Steam,2024-07-07,20.861458333,46.829060833
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-05 00:00:00,D,52.024489795,,2024-07-08,22.786458333,46.310919479
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-05 00:00:00,D,10.761175102,Steam,2024-07-09,22.927083333,46.877684375
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-06 00:00:00,D,55.000000000,,2024-07-10,22.879166666,45.659758020
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-06 00:00:00,D,6.719306250,Steam,2024-07-11,23.597916666,24.066351770
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-07 00:00:00,D,58.195833333,,2024-07-12,24.553125000,0.000000000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-07 00:00:00,D,4.347200000,Steam,2024-07-13,22.503125000,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-08 00:00:00,D,62.258333333,,2024-07-14,21.902083333,1.366015208
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-08 00:00:00,D,15.778787708,Steam,2024-07-15,23.668750000,0.005079166
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-09 00:00:00,D,58.945833333,,2024-07-16,23.479166666,0.000000000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-09 00:00:00,D,18.155765208,Steam,2024-07-17,23.244791666,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-10 00:00:00,D,60.969230769,,2024-07-18,22.645833333,0.000000000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-10 00:00:00,D,0.462376615,Steam,2024-07-19,23.915625000,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-11 00:00:00,D,59.534375000,,2024-07-20,21.744791666,0.000000000
CascadillaHall.STM.M22-V/AverageMassFlow,2024-04-11 00:00:00,D,0.894434479,Steam,2024-07-21,22.243750000,0.000000000
CascadillaHall.Elec.PowerScout3/kWsystem,2024-04-12 00:00:00,D,60.898958333,,2024-07-22,23.997916666,0.000000000
